,address,latitude,link,longitude,name,price,tags,isGluten
0,182 Brighton Ave,42.353124,/restaurants/o-yummy-cuisine/,-71.133689,'O' Yummy Cuisine,$$,"setTargeting('cuisine', ['chinese', 'japanese', 'sushi']);",0
1,56 Beach St,42.351492,/restaurants/101-bakery/,-71.060516,101 Bakery,$,"setTargeting('cuisine', ['bakeries', 'desserts']);",0
2,757 Massachusetts Ave,42.366397,/restaurants/1369-coffee-house-2/,-71.105596,1369 Coffee House,$,"setTargeting('cuisine', ['cafes-coffeehouses']);",0
3,1369 Cambridge St,42.373697,/restaurants/1369-coffee-house/,-71.100696,1369 Coffee House,$,"setTargeting('cuisine', ['cafes-coffeehouses']);",0
4,1309 Beacon St,42.342122,/restaurants/16-handles/,-71.120375,16 Handles,$,"setTargeting('cuisine', ['desserts', 'kosher']);",0
5,66 Harrison Ave,42.351303,/restaurants/163-vietnamese-sandwiches/,-71.061458,163 Vietnamese Sandwiches,$,"setTargeting('cuisine', ['vietnamese', 'sandwiches']);",0
6,150 Bowdoin St,42.358537,/restaurants/21st-amendment/,-71.06292,21st Amendment,$$,"setTargeting('cuisine', ['gastropub']);",0
7,29 Newbury St,42.352369,/restaurants/29-newbury/,-71.072099,29 Newbury,$$$$$,"setTargeting('cuisine', ['american-new']);",0
8,89 2nd St,42.368428,/restaurants/2nd-st-cafe/,-71.079419,2nd St Cafe (Second St Cafe),$,"setTargeting('cuisine', ['sandwiches', 'soups', 'cafes-coffeehouses']);",0
9,40 Dalton St,42.345997,/restaurants/40-dalton/,-71.084595,40 Dalton (Forty Dalton),$$$$$,"setTargeting('cuisine', ['american-traditional']);",0
10,49 Temple Pl,42.355018,/restaurants/49-social/,-71.061701,49 Social,$$$$,"setTargeting('cuisine', ['american-new', 'eclectic-international', 'cocktails']);",0
11,419 Harvard St,42.345496,/restaurants/4a-coffee-of-kazakhstan/,-71.127007,4A Coffee of Kazakhstan,$,"setTargeting('cuisine', ['cafes-coffeehouses']);",0
12,105 Huntington Ave,42.346431,/restaurants/5-napkin-burger/,-71.080528,5 Napkin Burger,$$$,"setTargeting('cuisine', ['burgers', 'american-new']);",0
13,75 Chestnut St,42.35697,/restaurants/75-chestnut/,-71.070394,75 Chestnut,$$,"setTargeting('cuisine', ['american-traditional', 'american-new', 'seafood']);",0
14,220 Northern Ave,42.349137,/restaurants/75-on-liberty-wharf/,-71.039529,75 on Liberty Wharf,$$,"setTargeting('cuisine', ['american-traditional', 'seafood']);",1
15,50 JFK St,42.372096,/restaurants/9-tastes/,-71.120597,9 Tastes (Nine Tastes),$$,"setTargeting('cuisine', ['thai']);",0
16,174 Harvard Ave,42.351183,/restaurants/@union/,-71.131754,@Union (At Union),$$,"setTargeting('cuisine', ['cafes-coffeehouses', 'american-traditional']);",0
17,433 Cambridge St,42.354754,/restaurants/a-@-time/,-71.134818,A @ Time,$$$,"setTargeting('cuisine', ['thai']);",0
18,187 Hampshire St,42.372858,/restaurants/a-pizza-grill/,-71.09919,A+ Pizza &amp; Grill,$,"setTargeting('cuisine', ['pizza']);",0
19,2350 Washington St,42.329436,/restaurants/a1-pizza-and-grill/,-71.08469,A1 Pizza and Grill,$$,"setTargeting('cuisine', ['other']);",0
20,445 Somerville Ave,42.382193,/restaurants/a4-pizza/,-71.102602,A4 Pizza,$$$,"setTargeting('cuisine', ['pizza', 'local-organic']);",0
21,Location Varies,42.357969,/restaurants/a4-truck/,-71.051339,A4 Truck,$$,"setTargeting('cuisine', ['middle-eastern']);",0
22,1657 Beacon St,42.338806,/restaurants/abbey/,-71.137042,Abbey,$$$$,"setTargeting('cuisine', ['american-new']);",0
23,358 Washington St,42.349026,/restaurants/abbotts-frozen-custard/,-71.153241,Abbott's Frozen Custard,$,"setTargeting('cuisine', ['desserts']);",0
24,255 Tremont St,42.350268,/restaurants/abby-lane/,-71.065179,Abby Lane,$$$$,"setTargeting('cuisine', ['american-traditional', 'pizza', 'local-organic']);",0
25,744 Massachusetts Ave,42.366351,/restaurants/abc-pizza-house/,-71.105515,ABC Pizza House,$,"setTargeting('cuisine', ['pizza', 'sandwiches']);",0
26,793 Boylston St,42.348934,/restaurants/abe-louies-steakhouse/,-71.08186,Abe &amp; Louie's Steakhouse,$$$$$,"setTargeting('cuisine', ['steakhouses', 'seafood']);",0
27,291 3rd St,42.365464,/restaurants/abigails/,-71.082763,Abigail's,$$$$,"setTargeting('cuisine', ['american-new', 'cocktails']);",0
28,464 Centre St,42.319278,/restaurants/acapulco/,-71.111727,Acapulco,$$$,"setTargeting('cuisine', ['mexican']);",0
29,605 W Kendall St,42.364252,/restaurants/aceituna-cafe/,-71.081731,Aceituna Cafe,$$,"setTargeting('cuisine', ['mediterranean', 'cafes-coffeehouses']);",0
30,544 Tremont St,42.344149,/restaurants/addis-red-sea-2/,-71.071467,Addis Red Sea,$$,"setTargeting('cuisine', ['ethiopian', 'african']);",0
31,13 Elm St,42.386158,/restaurants/aguacate-verde/,-71.113831,Aguacate Verde,$,"setTargeting('cuisine', ['mexican', 'health-food', 'vegetarian-friendly']);",0
32,1427 Tremont St,42.331608,/restaurants/aks-takeout/,-71.096443,AK'S Takeout,$$,"setTargeting('cuisine', ['pizza', 'wings', 'sandwiches']);",0
33,1 Porter Sq,42.388704,/restaurants/akai-ryu-shabu-sushi/,-71.118486,Akai Ryu Shabu &amp; Sushi,$$,"setTargeting('cuisine', ['japanese', 'sushi']);",0
34,82 Summer St,42.353838,/restaurants/al-capone/,-71.058505,Al Capone,$,"setTargeting('cuisine', ['pizza', 'italian']);",0
35,109 Salem St,42.364261,/restaurants/al-dente-ristorante/,-71.05553,Al Dente Ristorante,$$$,"setTargeting('cuisine', ['italian']);",0
36,172 Brighton Ave,42.352993,/restaurants/als-deli/,-71.133015,Al's Deli,$,"setTargeting('cuisine', ['sandwiches']);",0
37,1350 Massachusetts Ave,42.373049,/restaurants/als-harvard-square-cafe/,-71.118499,Al's Harvard Square Cafe,$,"setTargeting('cuisine', ['sandwiches']);",0
38,179 Essex St,42.352368,/restaurants/als-south-street-cafe/,-71.059544,Al's South Street Cafe,$,"setTargeting('cuisine', ['sandwiches', 'american-traditional']);",0
39,112 State St,42.359176,/restaurants/als-state-street-cafe/,-71.054836,Al's State Street Cafe,$,"setTargeting('cuisine', ['sandwiches']);",0
40,40 Brattle St,42.37361,/restaurants/alden-harlow/,-71.12121,Alden &amp; Harlow,$$$,"setTargeting('cuisine', ['american-new', 'small-plates-tapas']);",0
41,1252\u002D54 Washington St,42.342398,/restaurants/alex-pizza-grill/,-71.067412,Alex Pizza &amp; Grill,$$,"setTargeting('cuisine', ['pizza', 'greek']);",0
