names,links,addresses,longitude,latitude,price,type,isHealthy,new_pred,health_color
'O' Yummy Cuisine,/restaurants/o-yummy-cuisine/,182 Brighton Ave,42.353124,-71.133689,$$,"chinese', 'japanese', 'sushi",0,0.046,red
101 Bakery,/restaurants/101-bakery/,56 Beach St,42.351492,-71.060516,$,"bakeries', 'desserts",0,0.026,red
1369 Coffee House,/restaurants/1369-coffee-house/,1369 Cambridge St,42.373697,-71.100696,$,cafes-coffeehouses,0,0.134,yellow
1369 Coffee House,/restaurants/1369-coffee-house-2/,757 Massachusetts Ave,42.366397,-71.105596,$,cafes-coffeehouses,0,0.1,yellow
16 Handles,/restaurants/16-handles/,1309 Beacon St,42.342122,-71.120375,$,"desserts', 'kosher",0,0.056,yellow
163 Vietnamese Sandwiches,/restaurants/163-vietnamese-sandwiches/,66 Harrison Ave,42.351303,-71.061458,$,"vietnamese', 'sandwiches",1,0.356,green
21st Amendment,/restaurants/21st-amendment/,150 Bowdoin St,42.358537,-71.06292,$$,gastropub,0,0.088,yellow
29 Newbury,/restaurants/29-newbury/,29 Newbury St,42.352369,-71.072099,$$$$$,american-new,0,0.044,red
2nd St Cafe ,/restaurants/2nd-st-cafe/,89 2nd St,42.368428,-71.079419,$,"sandwiches', 'soups', 'cafes-coffeehouses",1,0.782,green
40 Dalton ,/restaurants/40-dalton/,40 Dalton St,42.345997,-71.084595,$$$$$,american-traditional,0,0.164,yellow
49 Social,/restaurants/49-social/,49 Temple Pl,42.355018,-71.061701,$$$$,"american-new', 'eclectic-international', 'cocktails",0,0.04,red
4A Coffee of Kazakhstan,/restaurants/4a-coffee-of-kazakhstan/,419 Harvard St,42.345496,-71.127007,$,cafes-coffeehouses,0,0.036,red
5 Napkin Burger,/restaurants/5-napkin-burger/,105 Huntington Ave,42.346431,-71.080528,$$$,"burgers', 'american-new",0,0.076,yellow
75 Chestnut,/restaurants/75-chestnut/,75 Chestnut St,42.35697,-71.070394,$$,"american-traditional', 'american-new', 'seafood",0,0.024,red
75 on Liberty Wharf,/restaurants/75-on-liberty-wharf/,220 Northern Ave,42.349137,-71.039529,$$,"american-traditional', 'seafood",0,0.072,yellow
9 Tastes ,/restaurants/9-tastes/,50 JFK St,42.372096,-71.120597,$$,thai,0,0.114,yellow
@Union ,/restaurants/@union/,174 Harvard Ave,42.351183,-71.131754,$$,"cafes-coffeehouses', 'american-traditional",0,0.108,yellow
A @ Time,/restaurants/a-@-time/,433 Cambridge St,42.354754,-71.134818,$$$,thai,0,0.16,yellow
A+ Pizza & Grill,/restaurants/a-pizza-grill/,187 Hampshire St,42.372858,-71.09919,$,pizza,0,0.242,green
A1 Pizza and Grill,/restaurants/a1-pizza-and-grill/,2350 Washington St,42.329436,-71.08469,$$,other,0,0.292,green
A4 Pizza,/restaurants/a4-pizza/,445 Somerville Ave,42.382193,-71.102602,$$$,"pizza', 'local-organic",0,0.052,yellow
A4 Truck,/restaurants/a4-truck/,Location Varies,42.357969,-71.051339,$$,middle-eastern,0,0.128,yellow
Abbey,/restaurants/abbey/,1657 Beacon St,42.338806,-71.137042,$$$$,american-new,0,0.058,yellow
Abbott's Frozen Custard,/restaurants/abbotts-frozen-custard/,358 Washington St,42.349026,-71.153241,$,desserts,0,0.018,red
Abby Lane,/restaurants/abby-lane/,255 Tremont St,42.350268,-71.065179,$$$$,"american-traditional', 'pizza', 'local-organic",0,0.076,yellow
ABC Pizza House,/restaurants/abc-pizza-house/,744 Massachusetts Ave,42.366351,-71.105515,$,"pizza', 'sandwiches",0,0.05,yellow
Abe & Louie's Steakhouse,/restaurants/abe-louies-steakhouse/,793 Boylston St,42.348934,-71.08186,$$$$$,"steakhouses', 'seafood",0,0.082,yellow
Abigail's,/restaurants/abigails/,291 3rd St,42.365464,-71.082763,$$$$,"american-new', 'cocktails",0,0.16,yellow
Acapulco,/restaurants/acapulco/,464 Centre St,42.319278,-71.111727,$$$,mexican,0,0.06,yellow
Aceituna Cafe,/restaurants/aceituna-cafe/,605 W Kendall St,42.364252,-71.081731,$$,"mediterranean', 'cafes-coffeehouses",0,0.066,yellow
Addis Red Sea,/restaurants/addis-red-sea-2/,544 Tremont St,42.344149,-71.071467,$$,"ethiopian', 'african",0,0.076,yellow
Aguacate Verde,/restaurants/aguacate-verde/,13 Elm St,42.386158,-71.113831,$,"mexican', 'health-food', 'vegetarian-friendly",1,0.738,green
AK'S Takeout,/restaurants/aks-takeout/,1427 Tremont St,42.331608,-71.096443,$$,"pizza', 'wings', 'sandwiches",0,0.046,red
Akai Ryu Shabu & Sushi,/restaurants/akai-ryu-shabu-sushi/,1 Porter Sq,42.388704,-71.118486,$$,"japanese', 'sushi",0,0.116,yellow
Al Capone,/restaurants/al-capone/,82 Summer St,42.353838,-71.058505,$,"pizza', 'italian",0,0.344,green
Al Dente Ristorante,/restaurants/al-dente-ristorante/,109 Salem St,42.364261,-71.05553,$$$,italian,0,0.052,yellow
Al's Deli,/restaurants/als-deli/,172 Brighton Ave,42.352993,-71.133015,$,sandwiches,1,0.86,green
Al's Harvard Square Cafe,/restaurants/als-harvard-square-cafe/,1350 Massachusetts Ave,42.373049,-71.118499,$,sandwiches,1,0.868,green
Al's South Street Cafe,/restaurants/als-south-street-cafe/,179 Essex St,42.352368,-71.059544,$,"sandwiches', 'american-traditional",1,0.886,green
Al's State Street Cafe,/restaurants/als-state-street-cafe/,112 State St,42.359176,-71.054836,$,sandwiches,1,0.896,green
Alden & Harlow,/restaurants/alden-harlow/,40 Brattle St,42.37361,-71.12121,$$$,"american-new', 'small-plates-tapas",0,0.1,yellow
Alex Pizza & Grill,/restaurants/alex-pizza-grill/,1252-54 Washington St,42.342398,-71.067412,$$,"pizza', 'greek",0,0.05,yellow
Alex's Chimis,/restaurants/alexs-chimis/,358 Centre St,42.322354,-71.107925,$,"puerto-rican-dominican', 'latin-american",0,0.05,yellow
Alfredo's,/restaurants/alfredos/,229 Brighton Ave,42.353397,-71.136097,$$,"italian', 'sandwiches",1,0.68,green
Alfredo's Italian Kitchen,/restaurants/alfredos-italian-kitchen/,691 Cambridge St,42.372233,-71.088102,$$$,"italian', 'pizza', 'sandwiches",0,0.16,yellow
Algiers Coffee House,/restaurants/algiers-coffee-house/,40 Brattle St,42.373784,-71.121363,$$$,"cafes-coffeehouses', 'mediterranean",0,0.088,yellow
Ali Baba,/restaurants/ali-baba/,145 E Berkeley St,42.343613,-71.064816,$$,turkish,0,0.05,yellow
Alibi,/restaurants/alibi/,215 Charles St,42.361748,-71.071005,$$,"american-traditional', 'pizza', 'cocktails",0,0.11,yellow
Alive & Kicking,/restaurants/alive-kicking/,269 Putnam Ave,42.362842,-71.113851,$$$,"seafood', 'new-england",0,0.212,yellow
All Star Pizza Bar,/restaurants/all-star-pizza-bar/,1238 Cambridge St,42.37326,-71.098057,$$,pizza,0,0.074,yellow
All Star Sandwich Bar,/restaurants/all-star-sandwich-bar/,1245 Cambridge St,42.373428,-71.098552,$$,sandwiches,1,0.314,green
Allston Diner,/restaurants/allston-diner/,431 Cambridge St,42.354794,-71.134731,$$,"american-traditional', 'southern-soul', 'vegetarian-friendly', 'vegan",1,0.752,green
Allston Village Pizza & Grill,/restaurants/allston-village-pizza-grill/,2 Brighton Ave,42.352179,-71.125167,$,"pizza', 'sandwiches",0,0.218,yellow
Aman Palace,/restaurants/aman-palace/,63 Union Sq,42.379827,-71.095422,$$,"indian', 'vegetarian-friendly",1,0.726,green
Amelia's Taqueria,/restaurants/amelias-taqueria-2/,309 Huntington Ave,42.341203,-71.087463,$$,mexican,0,0.13,yellow
Amelia's Taqueria,/restaurants/amelias-taqueria/,180 Brighton Ave,42.353057,-71.13364,$,mexican,0,0.106,yellow
Amelia's Trattoria,/restaurants/amelias-trattoria/,111 Harvard St,42.365022,-71.093088,$$$$,italian,0,0.038,red
