"id","name","meanIAT","size"
0,"District of Columbia",NA,NA
430,"ALASKA",NA,NA
529,"RHODE ISLAND",NA,NA
1001,"Autauga",0.46,104
1003,"Baldwin",0.44,550
1005,"Barbour",0.45,34
1007,"Bibb",NA,NA
1009,"Blount",0.39,53
1011,"Bullock",NA,NA
1013,"Butler",NA,NA
1015,"Calhoun",0.45,300
1017,"Chambers",0.41,65
1019,"Cherokee",0.41,32
1021,"Chilton",0.51,43
1023,"Choctaw",NA,NA
1025,"Clarke",NA,NA
1027,"Clay",NA,NA
1029,"Cleburne",NA,NA
1031,"Coffee",0.48,106
1033,"Colbert",0.4,62
1035,"Conecuh",NA,NA
1037,"Coosa",NA,NA
1039,"Covington",0.42,62
1041,"Crenshaw",NA,NA
1043,"Cullman",0.4,92
1045,"Dale",0.45,109
1047,"Dallas",0.37,39
1049,"DeKalb",0.44,63
1051,"Elmore",0.44,167
1053,"Escambia",0.41,31
1055,"Etowah",0.39,174
1057,"Fayette",NA,NA
1059,"Franklin",0.41,38
1061,"Geneva",0.44,55
1063,"Greene",NA,NA
1065,"Hale",NA,NA
1067,"Henry",NA,NA
1069,"Houston",0.44,222
1071,"Jackson",0.35,66
1073,"Jefferson",0.43,1821
1075,"Lamar",NA,NA
1077,"Lauderdale",0.45,162
1079,"Lawrence",NA,NA
1081,"Lee",0.45,1783
1083,"Limestone",0.45,119
1085,"Lowndes",NA,NA
1087,"Macon",NA,NA
1089,"Madison",0.42,946
1091,"Marengo",NA,NA
1093,"Marion",NA,NA
1095,"Marshall",0.48,150
1097,"Mobile",0.44,979
1099,"Monroe",NA,NA
1101,"Montgomery",0.47,408
1103,"Morgan",0.48,195
1105,"Perry",NA,NA
1107,"Pickens",NA,NA
1109,"Pike",0.44,307
1111,"Randolph",0.37,290
1113,"Russell",0.42,103
1115,"St. Clair",0.48,153
1117,"Shelby",0.44,626
1119,"Sumter",NA,NA
1121,"Talladega",0.43,77
1123,"Tallapoosa",0.44,50
1125,"Tuscaloosa",0.43,1103
1127,"Walker",0.42,71
1129,"Washington",NA,NA
1131,"Wilcox",NA,NA
1133,"Winston",NA,NA
2013,"Aleutians East",NA,NA
2016,"Aleutians West",NA,NA
2020,"Anchorage",0.39,1179
2050,"Bethel",NA,NA
2060,"Bristol Bay",NA,NA
2068,"Denali",NA,NA
2070,"Dillingham",NA,NA
2090,"Fairbanks North Star",0.37,396
2100,"Haines",NA,NA
2105,"Hoonah-Angoon",NA,NA
2110,"Juneau",0.36,121
2122,"Kenai Peninsula",0.35,134
2130,"Ketchikan Gateway",0.45,31
2150,"Kodiak Island",0.37,33
2164,"Lake and Peninsula",NA,NA
2170,"Matanuska-Susitna",0.4,263
2180,"Nome",NA,NA
2185,"North Slope",NA,NA
2188,"Northwest Arctic",NA,NA
2195,"Petersburg",NA,NA
2198,"Prince of Wales-Hyder",NA,NA
2220,"Sitka",NA,NA
2230,"Skagway",NA,NA
2240,"Southeast Fairbanks",NA,NA
2261,"Valdez-Cordova",NA,NA
2270,"Wade Hampton",NA,NA
2275,"Wrangell",NA,NA
2282,"Yakutat",NA,NA
2290,"Yukon-Koyukuk",NA,NA
4001,"Apache",0.29,81
4003,"Cochise",0.42,254
4005,"Coconino",0.36,677
4007,"Gila",0.35,64
4009,"Graham",NA,NA
4011,"Greenlee",NA,NA
4012,"La Paz",NA,NA
4013,"Maricopa",0.4,12398
4015,"Mohave",0.43,349
4017,"Navajo",0.32,227
4019,"Pima",0.4,3519
4021,"Pinal",0.41,727
4023,"Santa Cruz",0.37,44
4025,"Yavapai",0.42,512
4027,"Yuma",0.42,225
5001,"Arkansas",NA,NA
5003,"Ashley",NA,NA
5005,"Baxter",0.46,133
5007,"Benton",0.4,519
5009,"Boone",0.4,81
5011,"Bradley",NA,NA
